IP Address,Type,MAC Address,Vendor,Interface
35.129.96.1,Dynamic,0A:00:00:00:01:23,,
192.168.10.13,Dynamic,64:52:99:69:FD:20,ChamberlainG,
192.168.10.50,Dynamic,FC:EC:DA:C4:6E:55,Ubiquiti,
192.168.10.52,Dynamic,98:F2:B3:FE:88:80,HewlettPacka,
192.168.10.105,Dynamic,00:9D:6B:A0:45:28,MurataManufa,
192.168.10.107,Dynamic,F8:30:02:36:A6:09,TexasInstrum,
192.168.10.108,Dynamic,44:67:55:03:D4:72,OrbitIrrigat,
192.168.10.113,Dynamic,2A:38:72:30:E7:AE,,
192.168.10.123,Dynamic,9C:DA:A8:DA:6C:29,Apple,
192.168.10.124,Dynamic,3C:9B:D6:AA:32:3E,Vizio,
192.168.10.131,Dynamic,C8:D9:D2:2A:6B:E3,HewlettPacka,
192.168.10.132,Dynamic,DE:5F:2D:7E:72:9D,,
192.168.10.133,Dynamic,34:A8:EB:28:ED:42,Apple,
192.168.10.136,Dynamic,C0:6C:0C:32:9D:E0,Apple,
192.168.10.137,Dynamic,B0:3F:64:C5:C6:53,Apple,
192.168.10.138,Dynamic,1E:CE:F2:D3:D7:7F,,
192.168.10.141,Dynamic,88:A2:9E:43:4D:DE,RaspberryPi,
192.168.10.144,Dynamic,9C:8C:D8:C9:17:AE,HewlettPacka,
192.168.10.147,Dynamic,3C:A9:F4:BF:2A:E4,Intel,
192.168.10.150,Dynamic,96:1B:00:A7:1A:98,,
192.168.10.222,Dynamic,00:0C:29:B1:6C:05,VMware,
